run	shape	cats	size	cx	pitch_calib	text	advance	label_adv	lang	arrangement	lines	pitch_drawn
w6	two1	5	11	3585210	54.200	nnnnnnniiij	51.812	60.287	de-DE	turned	0	49.686
w6	two1	5	11	3585210	54.200	nnnnnnnir	47.878	56.354	de-DE	upright	2	54.193
w6	two1	5	11	3585210	54.200	nnnnnnnnt	51.053	59.529	de-DE	turned	0	49.814
w6	two1	5	11	3585210	54.200	nnnnnnntr	49.065	57.541	de-DE	turned	0	50.111
w6	two6	5	11	3585210	54.200	nnnnnnfft	46.099	84.238	de-DE	upright	2	54.193
w6	two6	5	11	3585210	54.200	nnnnnniif	44.061	82.200	de-DE	upright	2	54.193
w6	two6	5	11	3585210	54.200	nnnnnniiit	46.978	85.117	de-DE	turned	0	nan
w6	two6	5	11	3585210	54.200	nnnnnniis	45.027	83.167	de-DE	upright	2	54.193
w6	two6	5	11	3585210	54.200	nnnnnnitts	49.982	88.121	de-DE	turned	0	nan
w6	two6	5	11	3585210	54.200	nnnnnnniiij	51.812	89.951	de-DE	turned	0	nan
w6	two6	5	11	3585210	54.200	nnnnnnnir	47.878	86.017	de-DE	turned	0	nan
w6	two6	5	11	3585210	54.200	nnnnnnnnt	51.053	89.193	de-DE	turned	0	nan
w6	two6	5	11	3585210	54.200	nnnnnnntr	49.065	87.204	de-DE	turned	0	nan
w7	one	5	11	2400000	36.283	nnnnnn	35.464	35.464	de-DE	turned	0	33.671
w7	one	5	11	2425000	36.661	nnnnnn	35.464	35.464	de-DE	turned	0	34.096
w7	one	5	11	2450000	37.039	nnnnnn	35.464	35.464	de-DE	turned	0	34.514
w7	one	5	11	2475000	37.417	nnnnnn	35.464	35.464	de-DE	upright	1	37.412
w7	one	5	11	2500000	37.794	nnnnnn	35.464	35.464	de-DE	upright	1	37.802
w7	one	5	11	2525000	38.172	nnnnnn	35.464	35.464	de-DE	upright	1	38.170
w7	one	5	11	2550000	38.550	nnnnnn	35.464	35.464	de-DE	upright	1	38.546
w7	one	5	11	2575000	38.928	nnnnnn	35.464	35.464	de-DE	upright	1	38.928
w7	one	5	11	2600000	39.306	nnnnnn	35.464	35.464	de-DE	upright	1	39.304
w7	one	5	11	3220000	48.679	nnnnnnnn	47.285	47.285	de-DE	turned	0	45.590
w7	one	5	11	3241250	49.001	nnnnnnnn	47.285	47.285	de-DE	turned	0	45.938
w7	one	5	11	3262500	49.322	nnnnnnnn	47.285	47.285	de-DE	turned	0	46.306
w7	one	5	11	3283750	49.643	nnnnnnnn	47.285	47.285	de-DE	turned	0	46.660
w7	one	5	11	3305000	49.964	nnnnnnnn	47.285	47.285	de-DE	upright	1	49.970
w7	one	5	11	3326250	50.286	nnnnnnnn	47.285	47.285	de-DE	upright	1	50.288
w7	one	5	11	3347500	50.607	nnnnnnnn	47.285	47.285	de-DE	upright	1	50.621
w7	one	5	11	3368750	50.928	nnnnnnnn	47.285	47.285	de-DE	upright	1	50.926
w7	one	5	11	3390000	51.249	nnnnnnnn	47.285	47.285	de-DE	upright	1	51.245
w7	one	5	11	4020000	60.774	nnnnnnnnnn	59.106	59.106	de-DE	turned	0	57.170
