# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
slides/done-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	pptx	1/1	92/92	3/3	0	match	98/98
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	pptx	1/1	534/535	4/4	0	match	545/546
slides/done-003/ppt/010605Vul.ppt	ppt	21/21	947/944	7/6	0	match	1092/1089
slides/done-003/ppt/Inducement-to-Insurance-Business.ppt	ppt	22/22	2587/2577	4/5	0	match	2598/2589
slides/done-003/ppt/outlook_of_nigerian_pension_sector.ppt	ppt	12/12	1020/1021	6/6	0	match	1118/1118
slides/done-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	ppt	15/15	799/799	5/5	0	match	842/818
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	ppt	55/55	6215/6215	3/3	0	match	6471/6291
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	ppt	38/38	2662/2662	4/4	0	match	2855/2712
slides/done-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	pptx	6/6	759/759	5/5	0	match	805/805
slides/done-003/pptx/97936.pptx	pptx	15/15	1267/1267	5/5	0	match	1353/1353
slides/done-003/pptx/NCW-2024-Guide-.pptx	pptx	1/1	211/215	4/4	0	match	222/226
slides/done-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	pptx	24/24	1374/1374	5/4	0	match	1449/1449
slides/done-004/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	ppt	12/12	612/616	3/3	0	match	658/667
slides/done-004/ppt/undp_presentation_revised_17_may.PPT	ppt	22/22	1839/1836	7/7	0	match	1907/1957
