stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013	82	82	82	13229	13229	13201	-	-	-	unembedded	unembedded	0
commander-authorisation-tasks-spreadsheet-october-2025	23	23	23	13161	13161	13160	-	-	-	unembedded	unembedded	0
cy01_state	36	36	36	20447	20447	20444	-	-	-	unembedded	unembedded	0
cy06_primary_np_comm	11	11	11	7074	7074	7074	-	-	-	unembedded	unembedded	0
cy10_primary_enplanements	12	12	12	5263	5263	5263	-	-	-	unembedded	unembedded	0
data_20121018181533	57	57	57	12507	12507	12507	-	-	-	unembedded	unembedded	0
disclosures_ecm	1	1	1	3517	3517	3517	-	-	-	unembedded	unembedded	0
dragon-175066A	13	13	13	7330	7330	7329	-	-	-	unembedded	unembedded	0
e-pass-contact-details-template	4	4	4	27	27	27	-	-	-	unembedded	unembedded	0
ecopy of 2016 statistical bulletin_public finance statistics_final	17	17	17	5368	5368	5431	-	-	-	unembedded	unembedded	0
edb-emissions-databank v27-NewFormat (web)	368	368	368	76310	76310	76224	-	-	-	unembedded	unembedded	0
einvoice-summary-worksheet	2	2	2	107	107	107	-	-	-	unembedded	unembedded	0
environment-edb-docs-edb-emissions-databank	195	195	195	64064	64064	63886	-	-	-	unembedded	unembedded	0
essd-16-3433-2024-t02	4	4	4	940	940	435	-	-	-	words,unembedded	words,unembedded	0
esurf-12-135-2024-t01	1	1	1	118	118	116	-	-	-	unembedded	unembedded	0
flightstandards-doc-Cross-reference-table_version02	464	464	464	61298	61298	61237	-	-	-	unembedded	unembedded	0
flying-log-passenger-23rd-september-2014	7	7	7	4034	4034	4035	-	-	-	unembedded	unembedded	0
fm-provider-service-measures	38	38	38	21240	21240	21362	-	-	-	unembedded	unembedded	0
fse_identification_form	3	3	3	440	440	427	-	-	-	words,unembedded	words,unembedded	0
fy20-may20-sep20	96	96	96	49285	49285	50959	-	-	-	words,unembedded	words,unembedded	0
fy2010-aip-grants	100	100	100	49889	49889	49889	-	-	-	unembedded	unembedded	0
fy2011-aip-grants	93	93	93	43208	43208	43208	-	-	-	unembedded	unembedded	0
grants-2005	219	219	201	34886	34886	34036	-	-	-	pages,words,unembedded	pages,words,unembedded	0
hdss-bulletin-index-2019-2022	24	24	24	3611	3611	3626	-	-	-	unembedded	unembedded	0
jobs-bulletin-51-22-december-2025	12	12	12	1818	1818	1808	-	-	-	unembedded	unembedded	0
june_2025_published	15	15	15	12936	12936	12936	-	-	-	unembedded	unembedded	0
laufende-nip-vorhaben-hyland	18	18	18	6389	6389	6383	-	-	-	unembedded	unembedded	0
