path	added	era	libreoffice	dejavu	risk	cited_by
dotnet/probes/slides-e-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-e-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-extra-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-extra-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-f-01/census-sheets.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-f-01/census-slides.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-f-01/census-words.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-f-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-f-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-ink-ranking.tsv	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.raster-ceiling.md
dotnet/probes/slides-metrics-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-metrics-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-missing-01/ceiling-audit.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-missing-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-missing-01/results.md	2026-08-15	current	26.2.4.2	present	current	dotnet/TODO.raster-ceiling.md
dotnet/probes/slides-missing-01/slides-done-parity.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-missing-01/slides-missing-parity.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/slides-paint-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-paint-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-paint-b-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/slides-r22/alternate-content-oleobj.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r22/raster-pages.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r39/gradient-path.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/slides-r39/measured.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/slides-r39/slides-divergence.tsv	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/slides-r39/slides-ink-ranking.tsv	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/slides-r39/slides-parity.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r41/base-ink.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r41/base-parity.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r41/prediction.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/slides-r50/charstream-after.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/charstream-before.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/ink-ranking-after.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/ink-ranking-before.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/offpage-ours-before.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/parity-after.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/parity-before.tsv	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/prediction.md	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r50/results.md	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r51/prediction.md	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r51/results.md	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r52/prediction.md	2026-08-20	current	26.2.4.2	present	current	-
dotnet/probes/slides-r52/results.md	2026-08-21	current	26.2.4.2	present	current	-
dotnet/probes/slides-r53/prediction.md	2026-08-21	current	26.2.4.2	present	current	-
dotnet/probes/slides-r53/results.md	2026-08-21	current	26.2.4.2	present	current	dotnet/TODO.24-2-7-audit.md
