family	batch	path	ext	score	source	previous_batch	status	kind
sheets	done-016	sheets/done-016/xlsx/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.xlsx	xlsx	45146.4	xlsx/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.xlsx	batch-018	done	
sheets	extra-001	sheets/extra-001/xlsx/FY2018_Q4_UAS_Sightings.xlsx	xlsx	1188.6	xlsx/FY2018_Q4_UAS_Sightings.xlsx	batch-013	done	
sheets	metrics-001	sheets/metrics-001/xlsx/ans_mappings_of_eccairs_terms.xlsx	xlsx	1868.8	xlsx/ans_mappings_of_eccairs_terms.xlsx	batch-015	done	unstable
sheets	pagination-001	sheets/pagination-001/xlsx/sectors-defense-and-aerospace.xlsx	xlsx	983.0	xlsx/sectors-defense-and-aerospace.xlsx	batch-012	done	
sheets	pagination-001	sheets/pagination-001/xlsx/SIL_TDB648.xlsx	xlsx	3764.0	xlsx/SIL_TDB648.xlsx	batch-016	done	
sheets	pagination-001	sheets/pagination-001/xlsx/ODs-February-2022-Airbus-Commercial-Aircraft.xlsx	xlsx	9615.1	xlsx/ODs-February-2022-Airbus-Commercial-Aircraft.xlsx	batch-017	done	
sheets	table-001	sheets/table-001/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	xlsx	854.9	xlsx/FAA-2019-0995-0002_attachment_2.xlsx	batch-012	done	
sheets	unstable-001	sheets/unstable-001/xlsx/fse_identification_form.xlsx	xlsx	207.4	xlsx/fse_identification_form.xlsx	batch-005	open	unstable
sheets	chartset-001	sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	xlsx	73.1	advanced_office_templates_100:Excel/016_advanced_excel_radar.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	xlsx	73.3	advanced_office_templates_100:Excel/032_advanced_excel_radar.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	73.5	advanced_office_templates_100:Excel/006_advanced_excel_scatter.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	73.6	advanced_office_templates_100:Excel/005_advanced_excel_area.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	xlsx	74.9	advanced_office_templates_100:Excel/028_advanced_excel_doughnut.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	xlsx	75.0	advanced_office_templates_100:Excel/001_advanced_excel_bar.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	xlsx	75.0	advanced_office_templates_100:Excel/025_advanced_excel_bar.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	xlsx	75.0	advanced_office_templates_100:Excel/033_advanced_excel_bar.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	76.5	advanced_office_templates_100:Excel/002_advanced_excel_line.xlsx		done	
sheets	chartset-001	sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	76.5	advanced_office_templates_100:Excel/022_advanced_excel_scatter.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	xlsx	76.6	advanced_office_templates_100:Excel/013_advanced_excel_area.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	76.6	advanced_office_templates_100:Excel/030_advanced_excel_scatter.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	xlsx	77.1	advanced_office_templates_100:Excel/011_advanced_excel_pie.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	xlsx	77.1	advanced_office_templates_100:Excel/027_advanced_excel_pie.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	xlsx	77.9	advanced_office_templates_100:Excel/012_advanced_excel_doughnut.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	xlsx	79.5	advanced_office_templates_100:Excel/021_advanced_excel_area.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xlsx	79.5	advanced_office_templates_100:Excel/026_advanced_excel_line.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xlsx	79.7	advanced_office_templates_100:Excel/034_advanced_excel_line.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	xlsx	80.2	advanced_office_templates_100:Excel/003_advanced_excel_pie.xlsx		done	
sheets	chartset-002	sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	xlsx	80.2	advanced_office_templates_100:Excel/007_advanced_excel_bubble.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	xlsx	80.2	advanced_office_templates_100:Excel/031_advanced_excel_bubble.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	xlsx	80.3	advanced_office_templates_100:Excel/015_advanced_excel_bubble.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	xlsx	80.8	advanced_office_templates_100:Excel/004_advanced_excel_doughnut.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	xlsx	80.8	advanced_office_templates_100:Excel/020_advanced_excel_doughnut.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	xlsx	82.1	advanced_office_templates_100:Excel/008_advanced_excel_radar.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	xlsx	82.2	advanced_office_templates_100:Excel/024_advanced_excel_radar.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	82.5	advanced_office_templates_100:Excel/014_advanced_excel_scatter.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xlsx	82.5	advanced_office_templates_100:Excel/018_advanced_excel_line.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	xlsx	84.0	advanced_office_templates_100:Excel/017_advanced_excel_bar.xlsx		done	
sheets	chartset-003	sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	xlsx	85.5	advanced_office_templates_100:Excel/029_advanced_excel_area.xlsx		done	
sheets	chartset-004	sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	xlsx	86.2	advanced_office_templates_100:Excel/023_advanced_excel_bubble.xlsx		done	
sheets	chartset-004	sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	xlsx	87.0	advanced_office_templates_100:Excel/009_advanced_excel_bar.xlsx		done	
sheets	chartset-004	sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xlsx	88.7	advanced_office_templates_100:Excel/010_advanced_excel_line.xlsx		done	
sheets	chartset-004	sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	xlsx	89.1	advanced_office_templates_100:Excel/019_advanced_excel_pie.xlsx		done	
sheets	chartset-004	sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	114.2	office_chart_dataset:excel/microsoft_learn_multi_chart_examples.xlsx		open	text
sheets	chartset-004	sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	xlsx	262.8	office_chart_dataset:excel/DynamicBubbleChart.xlsx		done	
sheets	chartset-005	sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xlsx	85.4	officechartexamples[contextures-vertex42]:excel/004_Contextures_chart_sample_de7c0671.xlsx		done	
sheets	chartset-005	sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	xlsx	90.2	officechartexamples[contextures-vertex42]:excel/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx		done	
sheets	chartset-005	sheets/chartset-005/xlsx/067_Basic_invoice_Use_this_template_1d35c3e9.xlsx	xlsx	49.2	officechartexamples[microsoft-create]:excel/067_Basic_invoice_Use_this_template_1d35c3e9.xlsx		done	
sheets	chartset-005	sheets/chartset-005/xlsx/073_Graph_paper_6e1a30eb.xlsx	xlsx	59.1	officechartexamples[microsoft-create]:excel/073_Graph_paper_6e1a30eb.xlsx		done	
