              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
      Caladea Bold  24.0 |      762    974 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -330/-422  +0/+0
      DejaVu Serif   5.0 |      165    207 | +0/+0  +0/+0  +0/+0  -3/-2  -2/-2  -72/-90  -1/-1
      DejaVu Serif   5.5 |      182    229 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-3  -80/-101  -2/-3
      DejaVu Serif   6.0 |      195    246 | +0/+0  +0/+0  +0/+0  +3/+1  +2/+1  -84/-106  +1/+0
      DejaVu Serif   6.5 |      212    267 | +0/+0  +0/+0  +0/+0  +0/-2  +1/+0  -91/-115  +1/+0
      DejaVu Serif   7.0 |      229    288 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+0  -99/-125  +0/-1
      DejaVu Serif   7.5 |      246    310 | +0/+0  +0/+0  +0/-1  +1/+1  +0/-2  -107/-135  +0/-2
      DejaVu Serif   8.0 |      262    330 | +0/+0  +0/+0  +0/+0  -1/-2  +0/-2  -113/-143  +0/-1
      DejaVu Serif   8.5 |      279    351 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-2  -121/-153  -1/-2
      DejaVu Serif   9.0 |      296    373 | +0/+0  +0/-1  +0/+0  +0/-3  -1/-3  -129/-163  -1/-3
      DejaVu Serif   9.5 |      309    389 | +0/+0  +0/+0  +0/+0  +1/-1  +2/+1  -133/-168  +2/+1
      DejaVu Serif  10.0 |      326    411 | +0/+0  +0/+0  +0/+0  +2/+2  +2/+0  -140/-178  +1/-1
      DejaVu Serif  10.5 |      343    432 | +0/+0  +0/+0  +0/+0  -1/-2  +1/-1  -148/-187  +1/-1
      DejaVu Serif  11.0 |      360    453 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -156/-197  +0/-1
      DejaVu Serif  11.5 |      377    474 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -163/-206  +0/-1
      DejaVu Serif  12.0 |      394    496 | +0/+0  +0/+0  +0/-1  -2/-5  -1/-3  -171/-216  -1/-3
      DejaVu Serif  12.5 |      411    517 | +0/+0  +0/+0  +0/-1  -2/-5  -2/-4  -179/-226  -2/-4
      DejaVu Serif  13.0 |      423    529 | +0/+0  +0/+0  +0/+0  +4/+7  +3/+5  -182/-226  +3/+5
      DejaVu Serif  13.5 |      440    550 | +0/+0  +0/+0  +0/+0  +1/+4  +2/+4  -189/-235  +2/+4
      DejaVu Serif  14.0 |      461    580 | +0/+0  +0/+0  +0/+0  -2/-5  -3/-5  -201/-254  -3/-6
      DejaVu Serif  14.5 |      474    597 | +0/+0  +0/+0  +0/+0  +2/-1  +1/-1  -205/-259  +1/-1
      DejaVu Serif  15.0 |      491    614 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+2  -212/-264  +0/+2
      DejaVu Serif  15.5 |      508    635 | +0/+0  +0/+0  +0/+0  +0/+4  +0/+2  -220/-274  +0/+2
      DejaVu Serif  16.0 |      521    652 | +0/+0  +0/+0  +0/+0  +5/+8  +2/+4  -224/-279  +3/+5
      DejaVu Serif  16.5 |      538    673 | +0/+0  +0/+0  +0/+0  +2/+5  +2/+5  -232/-289  +2/+4
      DejaVu Serif  17.0 |      559    699 | +0/+0  +0/+0  +0/+0  -2/+0  -2/+0  -243/-303  -2/-1
      DejaVu Serif  17.5 |      576    720 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-1  -251/-312  -3/-1
      DejaVu Serif  18.0 |      588    737 | +0/+0  +0/-1  +0/+0  +1/+0  +1/+2  -254/-318  +1/+2
      DejaVu Serif  18.5 |      605    758 | +0/+0  +0/-1  +0/+0  +2/+4  +1/+2  -261/-327  +1/+2
      DejaVu Serif  19.0 |      622    779 | +0/+0  +0/+0  +0/+0  -1/+1  +0/+1  -269/-336  +0/+1
      DejaVu Serif  19.5 |      639    800 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -277/-346  +0/+1
      DejaVu Serif  20.0 |      656    821 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -285/-355  -1/+0
      DejaVu Serif  20.5 |      673    842 | +0/+0  +0/+0  +0/+0  -3/-2  -2/+0  -292/-364  -2/+0
      DejaVu Serif  21.0 |      686    860 | +0/+0  +0/+0  +0/-1  +2/+4  +2/+3  -296/-371  +2/+3
      DejaVu Serif  21.5 |      703    881 | +0/+0  +0/+0  +0/+0  +3/+5  +0/+1  -304/-380  +1/+2
      DejaVu Serif  22.0 |      720    902 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -311/-389  +0/+1
      DejaVu Serif  22.5 |      741    927 | +0/+0  +0/+0  +0/+0  -4/-3  -4/-3  -323/-403  -4/-3
      DejaVu Serif  23.0 |      754    945 | +0/+0  +0/+0  +0/-1  -3/-3  -1/-1  -327/-409  -1/-1
      DejaVu Serif  23.5 |      770    965 | +0/+0  +0/+0  +0/+0  -1/-2  +0/+0  -334/-418  +0/+1
      DejaVu Serif  24.0 |      787    986 | +0/+0  +0/+0  +0/+0  +0/+2  -1/+0  -341/-427  -1/+0
  DejaVu Sans Mono   5.0 |      165    207 | +0/+0  +0/+0  +0/+0  -3/-2  -2/-2  -72/-90  -1/-1
  DejaVu Sans Mono   5.5 |      182    229 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-3  -80/-101  -2/-3
  DejaVu Sans Mono   6.0 |      195    246 | +0/+0  +0/+0  +0/+0  +3/+1  +2/+1  -84/-106  +1/+0
  DejaVu Sans Mono   6.5 |      212    267 | +0/+0  +0/+0  +0/+0  +0/-2  +1/+0  -91/-115  +1/+0
  DejaVu Sans Mono   7.0 |      229    288 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+0  -99/-125  +0/-1
  DejaVu Sans Mono   7.5 |      246    310 | +0/+0  +0/+0  +0/-1  +1/+1  +0/-2  -107/-135  +0/-2
  DejaVu Sans Mono   8.0 |      262    330 | +0/+0  +0/+0  +0/+0  -1/-2  +0/-2  -113/-143  +0/-1
  DejaVu Sans Mono   8.5 |      279    351 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-2  -121/-153  -1/-2
  DejaVu Sans Mono   9.0 |      296    373 | +0/+0  +0/-1  +0/+0  +0/-3  -1/-3  -129/-163  -1/-3
  DejaVu Sans Mono   9.5 |      309    389 | +0/+0  +0/+0  +0/+0  +1/-1  +2/+1  -133/-168  +2/+1
  DejaVu Sans Mono  10.0 |      326    411 | +0/+0  +0/+0  +0/+0  +2/+2  +2/+0  -140/-178  +1/-1
  DejaVu Sans Mono  10.5 |      343    432 | +0/+0  +0/+0  +0/+0  -1/-2  +1/-1  -148/-187  +1/-1
  DejaVu Sans Mono  11.0 |      360    453 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -156/-197  +0/-1
  DejaVu Sans Mono  11.5 |      377    474 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -163/-206  +0/-1
  DejaVu Sans Mono  12.0 |      394    496 | +0/+0  +0/+0  +0/-1  -2/-5  -1/-3  -171/-216  -1/-3
  DejaVu Sans Mono  12.5 |      411    517 | +0/+0  +0/+0  +0/-1  -2/-5  -2/-4  -179/-226  -2/-4
  DejaVu Sans Mono  13.0 |      423    529 | +0/+0  +0/+0  +0/+0  +4/+7  +3/+5  -182/-226  +3/+5
  DejaVu Sans Mono  13.5 |      440    550 | +0/+0  +0/+0  +0/+0  +1/+4  +2/+4  -189/-235  +2/+4
  DejaVu Sans Mono  14.0 |      461    580 | +0/+0  +0/+0  +0/+0  -2/-5  -3/-5  -201/-254  -3/-6
  DejaVu Sans Mono  14.5 |      474    597 | +0/+0  +0/+0  +0/+0  +2/-1  +1/-1  -205/-259  +1/-1
