              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
       DejaVu Sans  13.0 |      427      0 | -4/+529  +0/+536  +0/+536  -1/+534  -1/+534  -1/+534  -4/+529  -1/+534
       DejaVu Sans  13.5 |      441      0 | -1/+550  +0/+554  +0/+554  +1/+554  +1/+554  +1/+554  +9/+556  +1/+554
       DejaVu Sans  14.0 |      459      0 | +2/+580  +0/+575  +0/+575  -1/+575  -1/+574  -1/+575  +17/+582  -1/+575
       DejaVu Sans  14.5 |      476      0 | -2/+597  +0/+596  +0/+596  -1/+596  -1/+596  -1/+596  +0/+582  -1/+595
       DejaVu Sans  15.0 |      490      0 | +1/+614  +0/+614  +0/+613  +1/+616  +1/+616  +1/+616  +13/+635  +1/+616
       DejaVu Sans  15.5 |      508      0 | +0/+635  +0/+639  +0/+639  +0/+637  +0/+637  +0/+637  -5/+635  +0/+637
       DejaVu Sans  16.0 |      526      0 | -5/+652  +0/+660  +0/+660  -3/+656  -3/+656  -3/+656  -23/+635  -2/+657
       DejaVu Sans  16.5 |      540      0 | -2/+673  +0/+678  +0/+678  +0/+678  +0/+677  +0/+678  -11/+661  +0/+678
       DejaVu Sans  17.0 |      557      0 | +2/+699  +0/+699  +0/+698  +0/+699  +0/+698  +0/+699  -1/+688  +0/+698
       DejaVu Sans  17.5 |      572      0 | +4/+720  +0/+717  +0/+717  +1/+719  +1/+719  +1/+718  -16/+688  +1/+719
       DejaVu Sans  18.0 |      589      0 | -1/+737  +0/+737  +0/+737  +0/+739  +0/+739  +0/+739  -7/+741  +0/+739
       DejaVu Sans  18.5 |      607      0 | -2/+758  +0/+762  +0/+762  -1/+760  -1/+760  -1/+760  +2/+768  -1/+760
       DejaVu Sans  19.0 |      621      0 | +1/+779  +0/+780  +0/+780  +1/+780  +1/+780  +1/+780  -12/+768  +1/+780
       DejaVu Sans  19.5 |      639      0 | +0/+800  +0/+801  +0/+801  +0/+801  +0/+801  +0/+801  -4/+794  +0/+801
       DejaVu Sans  20.0 |      656      0 | +0/+821  +0/+822  +0/+822  +0/+822  +0/+822  +0/+822  +5/+820  -1/+821
       DejaVu Sans  20.5 |      670      0 | +3/+842  +0/+840  +0/+839  +1/+842  +1/+842  +1/+841  -9/+820  +1/+842
       DejaVu Sans  21.0 |      688      0 | -2/+860  +0/+864  +0/+864  +0/+863  +0/+863  +0/+863  +0/+873  +0/+862
       DejaVu Sans  21.5 |      706      0 | -3/+881  +0/+886  +0/+886  -3/+882  -3/+882  -3/+882  +8/+900  -2/+883
       DejaVu Sans  22.0 |      720      0 | +0/+902  +0/+903  +0/+903  +1/+904  +1/+904  +1/+904  -6/+900  +0/+903
       DejaVu Sans  22.5 |      737      0 | +4/+927  +0/+924  +0/+924  +0/+924  +0/+924  +0/+924  +4/+926  +0/+924
       DejaVu Sans  23.0 |      751      0 | +3/+945  +0/+942  +0/+942  +2/+944  +2/+944  +2/+944  +16/+953  +2/+945
       DejaVu Sans  23.5 |      769      0 | +1/+965  +0/+963  +0/+963  +1/+965  +1/+965  +1/+965  -2/+953  +1/+965
       DejaVu Sans  24.0 |      787      0 | +0/+986  +0/+988  +0/+988  -1/+986  -1/+986  -1/+986  +7/+1006  -1/+986

measured 195 of 195 pairs, mode=plain
  600/mm100 max      ascent  44/195   line height   0/195
  720/mm100 max      ascent 195/195   line height   0/195
  720/mm100 split    ascent 195/195   line height   0/195
  8640/mm100 max     ascent  64/195   line height   0/195
  8640/mm100 split   ascent  64/195   line height   0/195
  8640/mm100 sum     ascent  64/195   line height   0/195
  96/mm100 max       ascent  15/195   line height   0/195
  exact (tree)       ascent  66/195   line height   0/195
