path	ext	family	batch	kind	part	feature
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:radarChart
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:scatterChart
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@scatterStyle_line
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@smooth_1
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:lineChart
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@smooth_1
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:barChart
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:areaChart
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@grouping_stacked
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	c:bubbleChart
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	c:barChart
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	c:lineChart
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	@smooth_1
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	c:pieChart
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	sheets	chartset-004	text	xl/charts/chart1.xml	c:lineChart
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	sheets	chartset-004	text	xl/charts/chart2.xml	c:barChart
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	sheets	chartset-004	text	xl/charts/chart3.xml	c:areaChart
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	sheets	chartset-004	text	xl/charts/chart4.xml	c:pieChart
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	sheets	chartset-004	text	xl/charts/chart5.xml	c:scatterChart
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	xlsx	sheets	chartset-004		xl/charts/chart1.xml	c:bubbleChart
slides/chartset-001/pptx/scatter_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:scatterChart
