odfpath	srcext	srcpath	family	batch	feature
slides/chartset-001/odp/combo_bar_line_chart.odp	pptx	slides/chartset-001/pptx/combo_bar_line_chart.pptx	slides	chartset-001	series-class:chart:line
slides/chartset-001/odp/combo_bar_line_chart.odp	pptx	slides/chartset-001/pptx/combo_bar_line_chart.pptx	slides	chartset-001	series-class:chart:bar
slides/chartset-001/odp/combo_bar_line_chart.odp	pptx	slides/chartset-001/pptx/combo_bar_line_chart.pptx	slides	chartset-001	@symbol_type
slides/chartset-001/odp/line_chart.odp	pptx	slides/chartset-001/pptx/line_chart.pptx	slides	chartset-001	class:chart:line
slides/chartset-001/odp/line_chart.odp	pptx	slides/chartset-001/pptx/line_chart.pptx	slides	chartset-001	series-class:chart:line
slides/chartset-001/odp/line_chart.odp	pptx	slides/chartset-001/pptx/line_chart.pptx	slides	chartset-001	@symbol_type
slides/chartset-001/odp/scatter_chart.odp	pptx	slides/chartset-001/pptx/scatter_chart.pptx	slides	chartset-001	class:chart:scatter
slides/chartset-001/odp/scatter_chart.odp	pptx	slides/chartset-001/pptx/scatter_chart.pptx	slides	chartset-001	series-class:chart:scatter
slides/chartset-001/odp/scatter_chart.odp	pptx	slides/chartset-001/pptx/scatter_chart.pptx	slides	chartset-001	@symbol_type
slides/chartset-001/odp/scatter_chart.odp	pptx	slides/chartset-001/pptx/scatter_chart.pptx	slides	chartset-001	@solid_type
slides/chartset-001/odp/stacked_area_chart.odp	pptx	slides/chartset-001/pptx/stacked_area_chart.pptx	slides	chartset-001	class:chart:area
slides/chartset-001/odp/stacked_area_chart.odp	pptx	slides/chartset-001/pptx/stacked_area_chart.pptx	slides	chartset-001	series-class:chart:area
slides/chartset-001/odp/stacked_area_chart.odp	pptx	slides/chartset-001/pptx/stacked_area_chart.pptx	slides	chartset-001	@stacked_true
slides/chartset-001/odp/stacked_bar_chart.odp	pptx	slides/chartset-001/pptx/stacked_bar_chart.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/stacked_bar_chart.odp	pptx	slides/chartset-001/pptx/stacked_bar_chart.pptx	slides	chartset-001	series-class:chart:bar
slides/chartset-001/odp/stacked_bar_chart.odp	pptx	slides/chartset-001/pptx/stacked_bar_chart.pptx	slides	chartset-001	@stacked_true
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	class:chart:circle
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	series-class:chart:circle
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	@three_d_true
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	@solid_type
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	class:chart:circle
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	series-class:chart:circle
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	@three_d_true
slides/done-004/odp/undp_presentation_revised_17_may.odp	ppt	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	slides	done-004	@solid_type
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	pptx	slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	slides	chartset-003	class:chart:bar
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	pptx	slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	slides	chartset-003	series-class:chart:bar
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	pptx	slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	slides	chartset-003	class:chart:line
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	pptx	slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	slides	chartset-003	series-class:chart:line
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	pptx	slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	slides	chartset-003	@symbol_type
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	slides	chartset-003	class:chart:ring
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	slides	chartset-003	series-class:chart:circle
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	slides	chartset-003	@solid_type
