part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:151147264;valAx:151204992	barChart:151147264,151204992:1	slides/done-011/pptx/3492.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:165109760;valAx:165111680	barChart:165109760,165111680:2	slides/done-011/pptx/3492.pptx
ppt/charts/chart30.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	areaChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx
ppt/charts/chart6.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	areaChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx
ppt/charts/chart32.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	bubbleChart:2094734554,2094734552:0	slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx
ppt/charts/chart33.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx
ppt/charts/chart14.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	areaChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx
ppt/charts/chart24.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	bubbleChart:2094734554,2094734552:0	slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx
ppt/charts/chart17.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx
