doc	pages	ink_signed	ink_abs	residual	residual_per_page	ceiling_pages	major	major_on_ceiling
022_advanced_powerpoint_area__pptx	1	0.16	0.16	0.16	0.160	0	0	0
029_advanced_powerpoint_doughnut__pptx	1	0.16	0.16	0.16	0.160	0	0	0
053_Flow_Wave_Process_9c0082f4__pptx	3	0.11	0.15	0.15	0.050	0	0	0
Boeing 737 Max - Group 5__pptx	2	0.09	0.15	0.15	0.075	0	0	0
NCW-2024-Guide-__pptx	1	0.06	0.14	0.14	0.140	0	0	0
034_Central_Idea_Hub_Diagram_8258e6ad__pptx	3	0.11	0.13	0.13	0.043	0	0	0
064_Four-Step_Success_Cycle_30c0a917__pptx	3	0.09	0.13	0.13	0.043	0	0	0
044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a__pptx	4	0.10	0.12	0.12	0.030	0	0	0
015_4-Option_Color_Wheel_Diagram_df7e4b8f__pptx	3	0.12	0.12	0.12	0.040	0	0	0
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx	3	0.12	0.12	0.12	0.040	0	0	0
014_advanced_powerpoint_area__pptx	1	0.10	0.11	0.11	0.110	0	0	0
020_5-Option_Color_Wheel_Diagram_104ea3b0__pptx	3	0.10	0.11	0.11	0.037	0	0	0
Trust Fund Excise Taxes Structure__pptx	1	0.09	0.11	0.11	0.110	0	0	0
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9__pptx	2	0.10	0.10	0.10	0.050	0	0	0
037_Circle_Matrix_Framework_44bc5218__pptx	3	0.05	0.09	0.09	0.030	0	0	0
062_Four-Step_Growth_Staircase_8a3ef338__pptx	3	0.05	0.09	0.09	0.030	0	0	0
074_Hashtag_Matrix_246eb8d9__pptx	3	0.07	0.09	0.09	0.030	0	0	0
098_Leaning_Cards_Process_dadb3738__pptx	3	0.06	0.09	0.09	0.030	0	0	0
medicines_bulletin_february_2023_final__pptx	1	0.06	0.09	0.09	0.090	0	0	0
014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e__pptx	3	0.03	0.08	0.08	0.027	0	0	0
030_advanced_powerpoint_area__pptx	1	0.08	0.08	0.08	0.080	0	0	0
036_Chevron_Process_Cards_3c8f0ea1__pptx	3	0.03	0.08	0.08	0.027	0	0	0
054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962__pptx	3	0.02	0.08	0.08	0.027	0	0	0
004_advanced_powerpoint_pie__pptx	1	0.01	0.07	0.07	0.070	0	0	0
012_advanced_powerpoint_pie__pptx	1	0.01	0.07	0.07	0.070	0	0	0
020_advanced_powerpoint_pie__pptx	1	0.01	0.07	0.07	0.070	0	0	0
028_advanced_powerpoint_pie__pptx	1	0.01	0.07	0.07	0.070	0	0	0
ROK-PI Climate Bulletin - Edition 2017-06__pptx	2	0.04	0.07	0.07	0.035	0	0	0
008_3-Circle_Venn_Diagram_024a12c5__pptx	3	0.05	0.07	0.07	0.023	0	0	0
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx	3	0.04	0.06	0.06	0.020	0	0	0
010_advanced_powerpoint_column__pptx	1	0.06	0.06	0.06	0.060	0	0	0
063_Four-Step_Infinity_Loop_3480185b__pptx	3	0.05	0.06	0.06	0.020	0	0	0
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb__pptx	3	0.02	0.06	0.06	0.020	0	0	0
045_Dual-Segment_Quadrant_14a57221__pptx	3	0.00	0.05	0.05	0.017	0	0	0
018_advanced_powerpoint_column__pptx	1	0.03	0.04	0.04	0.040	0	0	0
003_2-Circle_Venn_Diagram_7ab74e5c__pptx	3	0.01	0.03	0.03	0.010	0	0	0
003_advanced_powerpoint_line__pptx	1	0.01	0.03	0.03	0.030	0	0	0
011_advanced_powerpoint_line__pptx	1	0.02	0.03	0.03	0.030	0	0	0
019_advanced_powerpoint_line__pptx	1	0.03	0.03	0.03	0.030	0	0	0
002_advanced_powerpoint_column__pptx	1	0.02	0.02	0.02	0.020	0	0	0
027_advanced_powerpoint_line__pptx	1	0.02	0.02	0.02	0.020	0	0	0
026_advanced_powerpoint_column__pptx	1	0.01	0.01	0.01	0.010	0	0	0
fishbone-diagram-template-ppt-1__pptx	1	0.01	0.01	0.01	0.010	0	0	0
007_advanced_powerpoint_scatter__pptx	1	0.00	0.00	0.00	0.000	0	0	0
008_advanced_powerpoint_bubble__pptx	1	0.00	0.00	0.00	0.000	0	0	0
015_advanced_powerpoint_scatter__pptx	1	0.00	0.00	0.00	0.000	0	0	0
016_advanced_powerpoint_bubble__pptx	1	0.00	0.00	0.00	0.000	0	0	0
023_advanced_powerpoint_scatter__pptx	1	0.00	0.00	0.00	0.000	0	0	0
024_advanced_powerpoint_bubble__pptx	1	0.00	0.00	0.00	0.000	0	0	0
031_advanced_powerpoint_scatter__pptx	1	0.00	0.00	0.00	0.000	0	0	0
032_advanced_powerpoint_bubble__pptx	1	0.00	0.00	0.00	0.000	0	0	0
diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1__pptx	1	0.00	0.00	0.00	0.000	0	0	0
