slides/chartset-012/pptx/008_3-Circle_Venn_Diagram_024a12c5.pptx	pptx	3/3	218/248	5/5	0	match	223/253	1097/1097	fbca17e18c214ca7ad5b965263cdc2e1
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	pptx	3/3	72/114	5/5	0	match	77/119	397/397	4ac8f2ea74c9f3c2351d07b193fd6a97
slides/chartset-011/pptx/060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	pptx	3/3	292/330	5/5	0	match	297/335	1349/1349	7d346d8268210096b18b51338faf1203
slides/chartset-012/pptx/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.pptx	pptx	4/4	464/464	4/4	0	match	488/488	2392/2392	b9fae3565abc8e75873838d7c8bac3f2
slides/chartset-011/pptx/097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.pptx	pptx	3/3	238/276	5/3	0	match	240/278	1237/1237	2e4151432c158930723ab3f1d52278c9
slides/chartset-012/pptx/074_Hashtag_Matrix_246eb8d9.pptx	pptx	3/3	246/276	5/5	0	match	251/281	1271/1271	aeb901828c7bf69b045068c795b1b119
slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	pptx	3/3	148/178	5/5	0	match	153/183	769/769	68935abab66b42ce7323effd0402a77e
slides/chartset-012/pptx/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.pptx	pptx	3/3	282/322	5/3	0	match	284/324	1453/1453	4ea4b490c191de77535ee67a620874db
slides/chartset-012/pptx/013_3-Step_Segmented_Cycle_Process_5232f82d.pptx	pptx	3/3	220/256	5/5	0	match	225/261	1113/1113	3289e987935a75b5abc691a4d24458e4
slides/chartset-013/pptx/016_4-Position_Org_Chart_1d3640b6.pptx	pptx	3/3	132/156	4/3	0	match	134/158	745/745	05c39191cf68112d449b69eceea9f289
slides/chartset-012/pptx/064_Four-Step_Success_Cycle_30c0a917.pptx	pptx	3/3	152/176	5/5	0	match	157/181	701/701	a8824e98c2798f658323a1604b646662
slides/chartset-013/pptx/032_BCG_Growth-Share_Matrix_560d0485.pptx	pptx	3/3	278/344	5/5	0	match	291/357	1153/1153	8552c9837d8d3500cc4797de1c4eb8d5
slides/chartset-012/pptx/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	pptx	3/3	270/292	4/3	0	match	272/294	1383/1383	d4b5bbbffaa4a4357672f6c8faea94e8
slides/chartset-013/pptx/050_Five-Point_Radial_Hub_00793e08.pptx	pptx	3/3	166/192	5/5	0	match	171/197	755/755	881add5ccc37dfdfccb8a8ffbabeffba
slides/chartset-012/pptx/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.pptx	pptx	3/3	275/309	4/3	0	match	275/309	1406/1406	9419997d5c08ddca7dd8d893ca27b8f6
slides/chartset-013/pptx/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.pptx	pptx	5/5	580/580	4/4	0	match	610/610	2975/2975	7872dd6959074026d2bcc88fd3384148
slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	pptx	3/3	430/450	5/3	0	match	432/452	2249/2249	a98e3bd2d9f266d8cc3fc9fc45e6d67b
slides/chartset-013/pptx/023_5-Step_Progress_Cards_91d5ff57.pptx	pptx	3/3	242/274	5/5	0	match	247/279	1155/1155	864a203ac8a758d6d2809e83dde8d0eb
slides/chartset-013/pptx/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.pptx	pptx	3/3	289/333	5/5	0	match	294/338	1435/1435	8720a33d8b1c2cab483ddf54e77d291a
slides/chartset-013/pptx/049_Five-Block_Hub_Spoke_42ee8593.pptx	pptx	3/3	266/286	5/5	0	match	273/293	1333/1333	afc600dac7653ce7812c3848ad476b93
slides/chartset-014/pptx/021_5-Position_Org_Chart_cb042559.pptx	pptx	3/3	136/160	4/3	0	match	138/162	765/765	bc93ef9e17eeea75de17b1b5ff22c286
slides/chartset-013/pptx/056_Four-Block_Hub_Spoke_134b89d1.pptx	pptx	3/3	220/242	5/5	0	match	227/249	1107/1107	1a37039bf1681944c62f5a7d0075feb4
slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	pptx	3/3	342/384	5/5	0	match	347/389	1503/1503	4559770c036bf92917abd7cea9313910
slides/chartset-013/pptx/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.pptx	pptx	3/3	142/176	4/3	0	match	144/178	745/745	b587e967115df07b47faa270f0532370
slides/chartset-014/pptx/059_Four-Part_Concept_Puzzle_30cea7e5.pptx	pptx	6/6	571/641	6/6	0	match	595/665	2961/2961	5e82223fbe27836ec152793c69891a33
slides/chartset-014/pptx/019_4-Step_Segmented_Cycle_Process_2ff93c19.pptx	pptx	3/3	282/318	5/5	0	match	287/323	1417/1417	079236027632f30cdbe6c01ea26135c5
