# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/sample-files (reference columns from /home/user/gate-2f47 @ 2f4709c08)
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	pptx	3/3	341/340	5/5	0	match	346/345	1503/1502
slides/chartset-014/pptx/036_Chevron_Process_Cards_3c8f0ea1.pptx	pptx	3/3	161/160	5/5	0	match	166/165	737/737
slides/chartset-014/pptx/059_Four-Part_Concept_Puzzle_30cea7e5.pptx	pptx	6/6	570/569	6/6	0	match	594/593	2961/2960
slides/chartset-014/pptx/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.pptx	pptx	3/3	397/399	5/3	0	match	397/399	2006/2006
slides/chartset-014/pptx/082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125.pptx	pptx	3/3	393/395	5/3	0	match	393/395	1990/1990
slides/chartset-014/pptx/085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f.pptx	pptx	3/3	49/51	5/3	0	match	49/51	304/304
slides/chartset-014/pptx/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.pptx	pptx	3/3	53/55	5/3	0	match	53/55	324/324
slides/done-001/ppt/WC_Update-Aug03.ppt	ppt	11/11	452/452	2/2	0	match	519/519	2874/2874
slides/done-001/ppt/policy-pesentation.ppt	ppt	16/16	389/389	3/3	0	match	478/478	2288/2288
slides/done-001/ppt/wells08_basic.ppt	ppt	27/27	986/995	4/4	0	match	1172/1171	5741/5762
slides/done-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	pptx	8/8	267/267	2/2	0	match	309/309	1647/1647
slides/done-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	pptx	6/6	732/732	4/4	0	match	794/794	3547/3547
slides/done-001/pptx/Definitions commodity chains.pptx	pptx	4/4	261/261	2/2	0	match	279/279	1556/1556
slides/done-001/pptx/Statement of Work presentation.pptx	pptx	10/10	227/228	3/3	0	match	233/234	1286/1286
