identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	doc	words/done-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	8	2	552	1	2	552	1	7
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	docx	words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	1	0	0	0	3	1584	1	0
2ca950374241722b8ea7c132dfce63ae__doc	doc	words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	3	15	7670	2	14	7159	2	3
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	docx	words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	1	0	0	0	6	3287	1	0
SWDD-template__docx	docx	words/done-009/docx/SWDD-template.docx	6	1	144	1	0	0	0	1
1528364855__doc	doc	words/done-010/doc/1528364855.doc	3	28	11600	2	33	12413	3	3
195584360__docx	docx	words/done-010/docx/195584360.docx	20	83	25616	7	138	51559	19	7
316r_a_e__doc	doc	words/done-005/doc/316r_a_e.doc	14	1	144	1	0	0	0	2
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	docx	words/chartset-010/docx/032_Venn_Diagram_Template_Brown_Theme_d5b549f0.docx	1	0	0	0	3	1688	1	0
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx	docx	words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	1	0	0	0	83	11111	1	0
FG-AI4NDM-TR-skeleton_template__docx	docx	words/done-010/docx/FG-AI4NDM-TR-skeleton_template.docx	5	22	1284	1	0	0	0	3
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	docx	words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	2	8	219	1	3	1614	1	1
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	docx	words/chartset-011/docx/039_Venn_Diagram_Template_Simple_Format_6f82661d.docx	1	0	0	0	3	978	1	0
part-147_approval list_20230119__docx	docx	words/done-005/docx/part-147_approval list_20230119.docx	2	2	389	1	1	74	1	1
f2_registro_de_aprovacao_com_pbcs_EN__docx	docx	words/done-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	2	80	742	2	0	0	0	1
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8__docx	docx	words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	1	0	0	0	117	12129	1	0
part-145-approval list 2025__docx	docx	words/done-011/docx/part-145-approval list 2025.docx	7	76	23687	7	73	24068	7	6
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	docx	words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	0	0	0	3	1189	1	0
healthcare-reform-nsa-provider-bulletin__docx	docx	words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	5	20	3073	1	14	3099	1	5
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	doc	words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	6	7	919	6	5	1278	4	4
chapter 12__doc	doc	words/done-007/doc/chapter 12.doc	12	0	0	0	1	288	1	0
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	docx	words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	1	4	3073	1	5	3212	1	1
095_Business_Case_Template_Easy_Format_61de7128__docx	docx	words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	1	15	5222	1	23	5209	1	1
FO.FCTOA_.000129 Application for activities related to FSTD__docx	docx	words/done-012/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	6	64	25290	4	104	27601	6	2
johnson_hall_service_log.pdf__docx	docx	words/done-007/docx/johnson_hall_service_log.pdf.docx	1	0	0	0	6	261	1	0
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	docx	words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	1	3	2214	1	3	2213	1	1
bulletin__docx	docx	words/done-012/docx/bulletin.docx	14	44	5899	4	27	3617	1	7
060_Human_Body_Concept_Map_Template_ac872cfb__docx	docx	words/chartset-013/docx/060_Human_Body_Concept_Map_Template_ac872cfb.docx	1	0	0	0	3	1686	1	0
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	doc	words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	6	0	0	0	1	360	1	0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	doc	words/done-013/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	12	0	0	0	4	1601	4	0
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx	docx	words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	1	16	4262	1	13	3244	1	1
omrIMInterpretiveGuideLine__doc	doc	words/done-013/doc/omrIMInterpretiveGuideLine.doc	2	0	0	0	22	4221	1	0
Sol PJ14-03-04 Solution Contextual__docx	docx	words/done-013/docx/Sol PJ14-03-04 Solution Contextual.docx	5	4	1850	1	28	10899	2	5
hdss-bulletin-issue-285-25-june-2025__docx	docx	words/done-013/docx/hdss-bulletin-issue-285-25-june-2025.docx	10	64	12456	6	27	6135	5	1
Case-Study-Heathrow-Airport__docx	docx	words/done-009/docx/Case-Study-Heathrow-Airport.docx	3	9	4754	3	7	3699	3	2
PK_FlugzeugeStricken__doc	doc	words/done-014/doc/PK_FlugzeugeStricken.doc	7	2	697	1	4	1299	4	2
231164_SystemDesignDocument__docx	docx	words/done-014/docx/231164_SystemDesignDocument.docx	28	124	12897	8	18	5223	5	2
361400CSLegislation1RF01PUBLIC1__doc	doc	words/done-010/doc/361400CSLegislation1RF01PUBLIC1.doc	35	115	6119	10	1	9	0	2
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx	docx	words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	1	0	0	0	1	461	1	0
FMRBullletinB-28__doc	doc	words/done-002/doc/FMRBullletinB-28.doc	2	3	865	1	3	868	1	2
exhibit-06---technical-architecture-template__docx	docx	words/done-014/docx/exhibit-06---technical-architecture-template.docx	8	147	3569	1	2	864	1	4
5709.16 ch.40_mgfinal__docx	docx	words/done-010/docx/5709.16 ch.40_mgfinal.docx	32	85	17696	3	3	938	2	2
SFSP_2013-02_Bulletin__doc	doc	words/done-015/doc/SFSP_2013-02_Bulletin.doc	4	9	2266	2	18	4200	3	2
10795__doc	doc	words/done-003/doc/10795.doc	4	17	7770	2	18	8481	2	4
DOA_Template_Form_Type_Certification_Programme__docx	docx	words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	20	121	30122	6	133	46608	16	19
135__doc	doc	words/done-011/doc/135.doc	14	31	8655	5	24	9044	5	8
b053-19__docx	docx	words/done-011/docx/b053-19.docx	2	2	461	1	2	461	1	1
2015-April-SWIM_Users_Forum-Q&A__docx	docx	words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	5	8	3196	1	7	2711	1	4
Sample_SQMS_Program__docx	docx	words/done-015/docx/Sample_SQMS_Program.docx	61	68	7689	2	0	0	0	3
monthly-content-feeder__docx	docx	words/done-011/docx/monthly-content-feeder.docx	18	38	10008	4	40	11701	5	7
mde087077~283__docx	docx	words/done-003/docx/mde087077~283.docx	4	6	2619	1	5	2116	1	1
RobertQ_Service__doc	doc	words/done-004/doc/RobertQ_Service.doc	4	3	856	1	48	2652	4	4
tibs_guidelines_2__docx	docx	words/done-011/docx/tibs_guidelines_2.docx	13	24	2554	1	22	10592	11	2
461249__docx	docx	words/done-004/docx/461249.docx	5	11	5107	3	12	5649	3	3
120509coss__doc	doc	words/done-016/doc/120509coss.doc	25	0	0	0	50	21572	25	0
19-06 Assistive Technology TAB Final - 508__docx	docx	words/done-012/docx/19-06 Assistive Technology TAB Final - 508.docx	8	0	0	0	6	1975	2	0
316r_a_f__doc	doc	words/done-005/doc/316r_a_f.doc	14	1	144	1	0	0	0	2
PES-Technical-Report-Template_Jan_2019__docx	docx	words/done-016/docx/PES-Technical-Report-Template_Jan_2019.docx	14	47	2587	3	3	673	1	5
