file	pages	verdict	detail
061_Four-Stage_Serpentine_Chart_05699efe__pptx.pdf	3	no-field	
061_Nursing_Concept_Map_Template_fb9816f0__docx.pdf	1	skip-short	
061_Regional_sales_chart_cb9eb690__xlsx.pdf	1	skip-short	
062_Four-Step_Growth_Staircase_8a3ef338__pptx.pdf	3	no-field	
062_Run_chart_cb7476ea__xlsx.pdf	2	skip-short	
062_Vocabulary_Concept_Map_Template_2f7c1c09__docx.pdf	1	skip-short	
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992__docx.pdf	1	skip-short	
063_Four-Step_Infinity_Loop_3480185b__pptx.pdf	3	no-field	
063_Sales_pipeline_aec57013__xlsx.pdf	1	skip-short	
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx.pdf	1	skip-short	
064_Four-Step_Success_Cycle_30c0a917__pptx.pdf	3	no-field	
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	7	no-field	
065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419__pptx.pdf	3	no-field	
065_Weight_loss_tracker_ff1c89af__xlsx.pdf	2	skip-short	
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx.pdf	1	skip-short	
066_Agile_Gantt_chart_08f9de45__xlsx.pdf	5	sequential	3/3 match index
066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec__pptx.pdf	5	no-field	
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx.pdf	1	skip-short	
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx.pdf	1	skip-short	
067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647__pptx.pdf	4	no-field	
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx.pdf	1	skip-short	
068_Blue_inventory_list_Use_this_template_f9908489__xlsx.pdf	4	sequential	3/3 match index
068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7__pptx.pdf	1	skip-short	
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8__docx.pdf	1	skip-short	
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3__xlsx.pdf	4	no-field	
069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc__pptx.pdf	1	skip-short	
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx.pdf	1	skip-short	
07-04__doc.pdf	3	no-field	
070_Equipment_inventory_list_Use_this_template_fd524c8a__xlsx.pdf	1	skip-short	
070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642__pptx.pdf	1	skip-short	
