path	dir	spacing	size	bold	linebreak	overlap	rot	count	index	words	whole	widest	rest	text
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	V	63.3022	9.0000	0	1	0	0.0000	2	1	2	45.9096	24.6576	18.3911	This Week
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	V	55.3243	10.0000	0	1	0	0.0000	4	0	2	76.6957	48.2883	25.3081	Employee costs
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	V	55.3243	10.0000	0	1	0	0.0000	4	1	2	56.8671	28.4597	25.3081	Office costs
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	V	55.3243	10.0000	0	1	0	0.0000	4	2	2	77.0005	48.5931	25.3081	Marketing costs
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	V	43.0038	10.0000	0	1	0	0.0000	4	0	2	76.9954	48.6405	25.2557	Employee costs
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	V	43.0038	10.0000	0	1	0	0.0000	4	1	2	57.6240	29.2691	25.2557	Office costs
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	V	43.0038	10.0000	0	1	0	0.0000	4	2	2	80.0471	51.6921	25.2557	Marketing costs
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	V	43.0038	10.0000	0	1	0	0.0000	4	3	3	80.2851	42.0135	32.0731	Training / travel
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	0	2	81.2764	37.9290	37.9290	ACCOUNT MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	1	2	81.2764	37.9290	37.9290	PROJECT MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	2	2	86.6948	43.3474	37.9290	STRATEGY MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	3	2	92.1132	54.1843	32.5106	DESIGN SPECIALIST
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	4	2	59.6027	27.0921	27.0921	EVENT STAFF
